dialog_act,utterance
inform,"south of town
"
inform,"it does not matter
"
inform,"im looking for an expensive restaurant that serves basque food
"
inform,"french
"
inform,"south town
"
inform,"im looking for a spanish food restaurant
"
inform,"im looking for a restaurant in the east part of town
"
inform,"moderate restaurant south part of town
"
inform,"mediterranean
"
inform,"west part of town
"
inform,"indian food
"
inform,"west
"
inform,"there is no such venue harbor indian type of food
"
inform,"italian
"
inform,"south part of town
"
inform,"im looking for a japanese restaurant in the east part
"
inform,"the south side
"
inform,"indian food
"
inform,"english food
"
inform,"i want french food
"
inform,"gastro pub food
"
inform,"im looking for
"
inform,"im looking for an expensive restaurant that serves asian oriental food
"
inform,"portuguese
"
inform,"russian food
"
inform,"expensive restaurant south part of town
"
inform,"uh dont care
"
inform,"british food
"
inform,"portuguese food
"
inform,"uh expensive restaurant in the south
"
inform,"british
"
inform,"cheap restaurant in the west part of town
"
inform,"i dont care
"
inform,"i want italian food
"
inform,"i need a restaurant in the north part of town that serves lebanese food
"
inform,"any area
"
inform,"the restaurant
"
inform,"i dont care
"
inform,"the south part
"
inform,"cheap
"
inform,"expensive
"
inform,"any
"
inform,"british food
"
inform,"i dont care
"
inform,"i dont care
"
inform,"im looking for an expensive restaurant in the south part of town
"
inform,"any
"
inform,"id like a moderately priced restaurant that serves
"
inform,"west
"
inform,"north american food
"
inform,"any food
"
inform,"centre
"
inform,"restaurant in west part of town
"
inform,"british food
"
inform,"i dont care
"
inform,"moderately priced
"
inform,"i dont care
"
inform,"i want a moderately priced restaurant in the west part of town
"
inform,"a restaurant in any area
"
inform,"expensive
"
inform,"looking for something cheap in the north side of town
"
inform,"i dont care
"
inform,"type food
"
inform,"can i have a british restaurant in the east please
"
inform,"modern euorpean
"
inform,"expensive
"
inform,"id like a portuguese restaurant
"
inform,"dont care
"
inform,"dont care
"
inform,"any
"
inform,"expensive
"
inform,"doesnt matter
"
inform,"im looking for a restaurant in the north part of town
"
inform,"south
"
inform,"restaurant
"
inform,"do you have a place that serves turkish food
"
inform,"i need a restaurant serving modern european food
"
inform,"moderately priced restaurant
"
inform,"any
"
inform,"chinese
"
inform,"doesnt matter
"
inform,"i dont care
"
inform,"i want a restaurant in the north
"
inform,"im looking for indian food in the east part of town
"
inform,"the expensive
"
inform,"im looking for a moderately priced restaurant in the south part of town
"
inform,"im looking for a restaurant that has unintelligible
"
inform,"south
"
inform,"fusion food
"
inform,"korean
"
inform,"doesnt matter
"
inform,"expensive
"
inform,"i dont care
"
inform,"what type food
"
inform,"world food any price range
"
inform,"gastropub
"
inform,"russian food
"
inform,"i dont care
"
inform,"what does rice house
"
inform,"asian oriental food
"
inform,"moderate priced in the north part of town
"
inform,"thai food
"
inform,"doesnt matter
"
inform,"any area
"
inform,"seafood
"
inform,"i dont care
"
inform,"south town
"
inform,"polynesian food in the south part of town
"
inform,"moderate
"
inform,"any
"
inform,"asian oriental food
"
inform,"im looking for a cheap restaurant in the west part of town
"
inform,"vietnamese
"
inform,"im looking for a cheap restaurant that serves international
"
inform,"north
"
inform,"uh creative food
"
inform,"cheap
"
inform,"spanish food
"
inform,"north
"
inform,"indian food
"
inform,"any
"
inform,"im looking for um
"
inform,"any part of town
"
inform,"um i dont care i just want traditional food
"
inform,"modern european
"
inform,"yea id like a cheap restaurant in the north part of town
"
inform,"expensive restaurant
"
inform,"im looking for a restaurant
"
inform,"it doesnt matter
"
inform,"im looking for singaporean food
"
inform,"id like a restaurant in any area that serves japanese food
"
inform,"looking for a restaurant in the center that serves vegetarian food
"
inform,"i would like a moderately priced restaurant serving african food
"
inform,"north
"
inform,"iam looking for a restaurant that serves portuguese food
"
inform,"korean
"
inform,"the north part of town
"
inform,"any
"
inform,"west
"
inform,"center of town
"
inform,"expensive restaurant serve korean food
"
inform,"any price range
"
inform,"could i have a moderately priced restaurant in the east part of town
"
inform,"catalen food
"
inform,"it doesnt matter
"
inform,"do you have jamaican restaurant
"
inform,"i dont care
"
inform,"looking for a moderately priced restaurant in the west part of town
"
inform,"dont care
"
inform,"uh i dont care
"
inform,"moderate moderate moderate moderate
"
inform,"i want cantonese food
"
inform,"west
"
inform,"swiss food
"
inform,"italian food
"
inform,"south
"
inform,"venetian
"
inform,"im looking for an expensive restaurant in the south part of tow
"
inform,"expensive restaurant east part of town
"
inform,"any
"
inform,"south part of town
"
inform,"im looking for a cheap restaurant in the north part of town
"
inform,"any type of food
"
inform,"moderately priced
"
inform,"any
"
inform,"japanese
"
inform,"west
"
inform,"im looking for expensive restaurants that serve mediterranean food
"
inform,"i need a cheap restaurant
"
inform,"restaurant there
"
inform,"im looking for a cheap restaurant in the south part of town
"
inform,"vietnamese food
"
inform,"south part of town
"
inform,"i want an indian food restaurant moderate priced
"
inform,"south
"
inform,"you know thai thai food
"
inform,"traditional food
"
inform,"cheap
"
inform,"i would like international food please
"
inform,"im looking for a sea food restaurant
"
inform,"i dont care
"
inform,"moderate
"
inform,"turkish
"
inform,"doesnt matter
"
inform,"i dont care
"
inform,"christmas food west of town
"
inform,"gastropub
"
inform,"doesnt matter
"
inform,"dont care
"
inform,"expensive
"
inform,"cheap cheap restaurant
"
inform,"expensive restaurant
"
inform,"im looking for a thai restaurant
"
inform,"im looking for a restaurant in the west part of town that serves canapes food
"
inform,"south
"
inform,"how european
"
inform,"english
"
inform,"im looking for an expensive restaurant in the east part of town
"
inform,"north
"
inform,"can you do anything else beside repeat yourself
"
inform,"im looking for an expensive restaurant in the east part of town
"
inform,"can i get swedish food
"
inform,"cheap
"
inform,"what about asian food
"
inform,"is there anything in the cheap price range
"
inform,"south part of town
"
inform,"indian food
"
inform,"south
"
inform,"im looking for an expensive restaurant
"
inform,"i dont care about the price range
"
inform,"thai food
"
inform,"thai
"
inform,"unintelligible i dont care
"
inform,"basque
"
inform,"im looking for a moderately priced restaurant in the south part of town
"
inform,"any
"
inform,"i need restaurant serves spanish food
"
inform,"thai food
"
inform,"cheap restaurant in he north part of town
"
inform,"any
"
inform,"lebanese
"
inform,"north
"
inform,"spanish food in west area
"
inform,"asian oriental
"
inform,"i dont care
"
inform,"i want to find a moderately priced restaurant
"
inform,"i dont care
"
inform,"um im looking for an expensive restaurant
"
inform,"restaurant in the south part of town that serves mexican food
"
inform,"gastropub
"
inform,"any range is fine
"
inform,"russian food
"
inform,"im looking for a moderately priced restaurant in the west part of town
"
inform,"thai
"
inform,"im looking for an expensive restaurant that serves basque food
"
inform,"moderately
"
inform,"im looking for an expensive restaurant that serves thai food
"
inform,"catalan
"
inform,"i need indian food
"
inform,"any
"
inform,"vietnamese
"
inform,"moderately priced restaurant
"
inform,"south
"
inform,"italian food
"
inform,"it doesnt matter
"
inform,"spanish food
"
inform,"im looking for a restaurant in the north part of town serving jamaican food
"
inform,"im looking for indian food
"
inform,"british food
"
inform,"cheap
"
inform,"any
"
inform,"vietnamese
"
inform,"cheap australian
"
inform,"british food
"
inform,"food
"
inform,"im looking for a cheap restaurant
"
inform,"italian food
"
inform,"chinese
"
inform,"moderate
"
inform,"west part of town
"
inform,"south
"
inform,"doesnt matter
"
inform,"restaurant
"
inform,"moderate
"
inform,"north
"
inform,"spanish food
"
inform,"north part of town turkish food
"
inform,"north american
"
inform,"asian food
"
inform,"it doesnt matter
"
inform,"mediterranean food
"
inform,"belgium food
"
inform,"what is a good cheap restaurant that serves portuguese food
"
inform,"im looking for a moderately priced restaurant that serves spanish food
"
inform,"any
"
inform,"chinese food
"
inform,"moderate
"
inform,"any type of food
"
inform,"restaurant in west part of town
"
inform,"cheap restaurant
"
inform,"spanish food
"
inform,"i dont care
"
inform,"dont care
"
inform,"north
"
inform,"im looking for a restaurant that serves chinese food
"
inform,"i want to find an expensive restaurant in the south part of town
"
inform,"moderate
"
inform,"looking for a restaurant that serves portuguese food
"
inform,"italian food
"
inform,"moderate
"
inform,"i dont care
"
inform,"uh looking for a restaurant in any area and that needs to serve
"
inform,"food
"
inform,"basque
"
inform,"for something moderately priced on the east part of town
"
inform,"lebanese
"
inform,"im looking for a moderately priced restaurant in the west part of town
"
inform,"asian
"
inform,"i dont care
"
inform,"caribbean food
"
inform,"im looking for a restaurant in any area that serves bistro food
"
inform,"moderate
"
inform,"im looking for a restaurant in the south part of town serving austrian food
"
inform,"it doesnt matter
"
inform,"expensive
"
inform,"tuscan food
"
inform,"north
"
inform,"i would like a cheap restaurant in the west part of town
"
inform,"north part of town fast food
"
inform,"basque food
"
inform,"gastropub
"
inform,"any
"
inform,"any
"
inform,"uh indian
"
inform,"i want a restaurant in the west part of town serving australian food
"
inform,"west side
"
inform,"any
"
inform,"i dont care
"
inform,"west part of town
"
inform,"cuban food
"
inform,"pan asian
"
inform,"im looking for a restaurant in the north part town and it should serve australian food
"
inform,"im looking for belgian food
"
inform,"im looking for a moderately priced restaurant that serves vietnamese food
"
inform,"moderate
"
inform,"mexican
"
inform,"any
"
inform,"south
"
inform,"singaporean food
"
inform,"south
"
inform,"the east part of town
"
inform,"gastropub food
"
inform,"restaurant any area japanese food
"
inform,"danish
"
inform,"im looking for a russian food
"
inform,"expensive
"
inform,"moderately priced in the south part of town
"
inform,"french food
"
inform,"noise im looking for a restaurant serving vegetarian food
"
inform,"im looking for a cheap restaurant in the east part of town
"
inform,"yes i dont care about the price range
"
inform,"i need a cheap restaurant serving italian food
"
inform,"id like thai food
"
inform,"do you have christmas food
"
inform,"i am looking for a restaurant in the moderate price range that serves russian
"
inform,"thai food
"
inform,"portuguese food
"
inform,"can i get a restaurant with vegetarian food
"
inform,"looking for a restaurant in the south part of town
"
inform,"uh that doesnt matter
"
inform,"id like a restaurant in the south part of town
"
inform,"restaurant in the east part of town international food
"
inform,"french food
"
inform,"i dont care
"
inform,"im looking for a restaurant in the south part of town and it should serve chinese food
"
inform,"i want spanish food
"
inform,"italian
"
inform,"lebanese food
"
inform,"it doesnt matter
"
inform,"im looking for an expensive restaurant in a
"
inform,"eritrean
"
inform,"im looking for a cheap restaurant that serves chinese food
"
inform,"i want to find a restaurant moderately priced in the south part of town
"
inform,"ah im looking for a cheap restaurant
"
inform,"looking for a singaporean restaurant in the center
"
inform,"moderate
"
inform,"the east part of town
"
inform,"cheap
"
inform,"portuguese
"
inform,"moderate price
"
inform,"im looking for corsica food
"
inform,"restaurant
"
inform,"polynesian food
"
inform,"dont care
"
inform,"i want chinese food
"
inform,"center
"
inform,"scandinavian food
"
inform,"expensive
"
inform,"im looking for a restaurant in the north part
"
inform,"uh center
"
inform,"moderate
"
inform,"in the center
"
inform,"cheap
"
inform,"id like to find a restaurant serving portuguese food
"
inform,"i dont care
"
inform,"north
"
inform,"korean food
"
inform,"traditional
"
inform,"im looking for swedish food
"
inform,"moderately priced restaurant in the east part of town
"
inform,"find moderately priced brazilian restaurant
"
inform,"i dont care
"
inform,"looking for a moderately priced restaurant that serves british food
"
inform,"expensive
"
inform,"any
"
inform,"anything cheap
"
inform,"uh is there a steak house
"
inform,"im looking for a cheap restaurant
"
inform,"im looking for uh restaurant serving caribbean food
"
inform,"thai food
"
inform,"moderately priced
"
inform,"north
"
inform,"danish
"
inform,"i want to find a moderately priced restaurant that serves vietnamese food
"
inform,"is there a restaurant in the center of town serving
"
inform,"i dont care about the price range
"
inform,"north
"
inform,"im looking for a restaurant that serves vietnamese food
"
inform,"expensive restaurant east part of town
"
inform,"moderately priced
"
inform,"i dont care
"
inform,"seafood
"
inform,"i dont care
"
inform,"south
"
inform,"british
"
inform,"west
"
inform,"i need a moderately priced restaurant
"
inform,"center
"
inform,"any
"
inform,"dont care
"
inform,"restaurant
"
inform,"it doesnt matter
"
inform,"asian oriental
"
inform,"any
"
inform,"south
"
inform,"belgium food
"
inform,"i wanted an expensive restaurant
"
inform,"im looking for halal food
"
inform,"west
"
inform,"irish food
"
inform,"any price range
"
inform,"dont care
"
inform,"french
"
inform,"north part of town
"
inform,"east part
"
inform,"expensive in the south
"
inform,"thai food
"
inform,"uh doesnt matter
"
inform,"i dont care
"
inform,"im looking for a cheap restaurant in the north part of town
"
inform,"dont care
"
inform,"im looking for english food in the west part of town
"
inform,"looking for a cheap restaurant in the east part of town
"
inform,"i dont care
"
inform,"im looking for a restaurant in the east part of town and it should serve greek food
"
inform,"moderate price restaurant
"
inform,"moderate
"
inform,"i want a restaurant in the center part of town that serves traditional food
"
inform,"a restaurant cheap north part of town
"
inform,"expensive
"
inform,"it doesnt matter
"
inform,"dont care
"
inform,"canapes
"
inform,"north part of town
"
inform,"irish food
"
inform,"noise center
"
inform,"it doesnt matter
"
inform,"cheap restaurant east part of town
"
inform,"mexican food
"
inform,"any type of food
"
inform,"cheap restaurant in the south part of town
"
inform,"polynesian food
"
inform,"center
"
inform,"german
"
inform,"moderate
"
inform,"unintelligible expensive
"
inform,"moderate
"
inform,"im looking for a moderately priced restaurant and it should serve polynesian food
"
inform,"asian oriental
"
inform,"north
"
inform,"serving international food
"
inform,"im looking for a moderately priced restaurant in the north part of town
"
inform,"dont care
"
inform,"food
"
inform,"creative food
"
inform,"i dont care
"
inform,"i want thai food
"
inform,"dont care
"
inform,"any
"
inform,"gastropub
"
inform,"i would like steakhouse food
"
inform,"moderate
"
inform,"moderate
"
inform,"cheap
"
inform,"doesnt matter
"
inform,"cheap
"
inform,"im searching for turkish food
"
inform,"the north part of town
"
inform,"modern european food
"
inform,"i dont care
"
inform,"im looking for a cheap restaurant serving modern european type of food
"
inform,"im looking for an expensive restaurant in the south part of town
"
inform,"south part of town
"
inform,"i dont care
"
inform,"cheap
"
inform,"moderately priced restaurant that serves creative food
"
inform,"pub
"
inform,"im looking for a restaurant in the south part of town that serves
"
inform,"asian oriental
"
inform,"im looking for vegetarian food
"
inform,"i would like an expensive restaurant that serves korean food
"
inform,"chinese food
"
inform,"im looking for an expensive restaurant in the east part of town
"
inform,"thai food
"
inform,"it doesnt matter in the south part of town
"
inform,"korean
"
inform,"expensive
"
inform,"any type of food
"
inform,"about portuguese
"
inform,"any
"
inform,"moderately priced
"
inform,"cheap restaurant serving indian food
"
inform,"im looking for expensive spanish food
"
inform,"mexican
"
inform,"find australian restaurant in north part of town
"
inform,"russian
"
inform,"im looking for something in the south part of town that serves creative
"
inform,"i dont care
"
inform,"african food in any price range
"
inform,"vietnamese food
"
inform,"jamaican food
"
inform,"chinese
"
inform,"vegetarian food
"
inform,"may i have a list of venues in the west part of town
"
inform,"im looking for a restaurant in the east part of town that serves chinese food
"
inform,"cantonese food
"
inform,"dont care
"
inform,"food
"
inform,"italian food
"
inform,"i would like to find an expensive restaurant serving
"
inform,"chinese
"
inform,"west
"
inform,"im looking for a cheap restaurant in the west part of town
"
inform,"korean
"
inform,"i want an irish restaurant thats expensive
"
inform,"im looking for a moderately priced restaurant in the south part of town
"
inform,"dont care
"
inform,"sea food
"
inform,"catalan food north part of town
"
inform,"im looking for a cheap restaurant
"
inform,"im looking for something expensive
"
inform,"im looking for a cheap restaurant in the west part of town
"
inform,"serving cuban food
"
inform,"price over food west part of town
"
inform,"im looking for a cheap restaurant that serves canapes food
"
inform,"im looking for european food
"
inform,"im looking for a restaurant in the east part of town
"
inform,"uh cheap restaurant in the north part of town
"
inform,"it doesnt matter
"
inform,"looking for something with gastropub on the east side of town
"
inform,"moderately priced restaurant
"
inform,"i dont care
"
inform,"north american food
"
inform,"any type of food
"
inform,"north american food
"
inform,"i want to find a restaurant
"
inform,"any part
"
inform,"im looking for an expensive restaurant that serves vietnamese food
"
inform,"afghan food
"
inform,"a moderately priced fusion food
"
inform,"thai
"
inform,"cuban
"
inform,"greek food in the north part of town
"
inform,"i dont care
"
inform,"bistro food
"
inform,"i want to find a cheap restaurant that serve
"
inform,"cheap
"
inform,"i dont care
"
inform,"im looking for a restaurant in any area that servess
"
inform,"thai food
"
inform,"west
"
inform,"im looking for a cheap restaurant that serves cuban food
"
inform,"cheap jamaican
"
inform,"dont care
"
inform,"moderately priced restaurant
"
inform,"im looking for a moderately priced restaurant
"
inform,"expensive
"
inform,"id like a european food
"
inform,"lebanese
"
inform,"im looking for a restaurant that serves russian food
"
inform,"sea food
"
inform,"high priced
"
inform,"south
"
inform,"chinese
"
inform,"moderate
"
inform,"any
"
inform,"italian food
"
inform,"i dont care
"
inform,"an expensive restaurant in the south part of town
"
inform,"i dont care
"
inform,"north
"
inform,"welsh food
"
inform,"spanish food
"
inform,"a restaurant south part of town
"
inform,"traditional food
"
inform,"north part of town
"
inform,"greek
"
inform,"british food in north part of town
"
inform,"eartrain
"
inform,"indian food
"
inform,"im looking to find a moderately priced restaurant
"
inform,"hungarian food in the west part of town
"
inform,"asian oriental
"
inform,"vietnamese food
"
inform,"dont care
"
inform,"i dont care
"
inform,"i want to find an expensive restaurant that
"
inform,"cheap
"
inform,"italian
"
inform,"im looking for an expensive restaurant in the south part of town
"
inform,"any
"
inform,"im looking for an expensive restaurant in the south part of town
"
inform,"cheap
"
inform,"um im looking for a restaurant in north part of town
"
inform,"i dont care
"
inform,"moderately priced restaurant
"
inform,"im looking for a moderately priced restaurant in the south part of town
"
inform,"russian food
"
inform,"moderate
"
inform,"can i have a restaurant in the center
"
inform,"italian
"
inform,"i dont care
"
inform,"swedish
"
inform,"dont care
"
inform,"im looking for a restaurant in any area that serves belgian food
"
inform,"that serves jamaican food
"
inform,"free food
"
inform,"gastropub
"
inform,"expensive restaurant
"
inform,"west part of town
"
inform,"isian food
"
inform,"i want to find a restaurant in the north part of town that serves italian food
"
inform,"moderately priced restaurant
"
inform,"noise restaurant west part of town danish food
"
inform,"indian
"
inform,"any
"
inform,"expensive
"
inform,"south
"
inform,"i dont know
"
inform,"gastropub
"
inform,"expensive
"
inform,"south
"
inform,"i want to find indian food then
"
inform,"id like an expensive restaurant that serves mediteranean food
"
inform,"portuguese
"
inform,"expensive
"
inform,"south
"
inform,"im looking for a restaurant in the east part of town that serves c
"
inform,"doesnt matter
"
inform,"doesnt matter
"
inform,"moderately priced in the south part of town
"
inform,"moderate
"
inform,"any
"
inform,"im looking for expensive restaurants in the east part of town
"
inform,"im looking for an expensive restaurant and it should serve unusual food
"
inform,"north part of town
"
inform,"i dont care
"
inform,"it doesnt matter
"
inform,"im looking for an expensive restaurant in the east part of town
"
inform,"barbecue
"
inform,"im looking for
"
inform,"im looking for a restaurant in the center that serves corsica
"
inform,"jamaican food
"
inform,"british
"
inform,"south
"
inform,"im looking for a restaurant in any area that serves kor
"
inform,"anything
"
inform,"cheap price range
"
inform,"part of town that serves chinese food
"
inform,"i dont care
"
inform,"im looking for a restaurant that serves
"
inform,"asian
"
inform,"asian oriental
"
inform,"spanish
"
inform,"i dont care
"
inform,"im looking for a restaurant in the north part of town
"
inform,"im looking for a moderately priced restaurant in the south
"
inform,"i dont care
"
inform,"cheap
"
inform,"north
"
inform,"i am looking for a restaurant in the center that serves korean food
"
inform,"indian indian food in the east part of town
"
inform,"dont care
"
inform,"dont care
"
inform,"uh korean food
"
inform,"i dont care
"
inform,"french food
"
inform,"romanian
"
inform,"any
"
inform,"i dont care
"
inform,"german food
"
inform,"in the west
"
inform,"venetian
"
inform,"belgian food
"
inform,"im looking for a cheap restaurant in the north part of town
"
inform,"im looking for a cheap restaurant in the north of town
"
inform,"european food any price
"
inform,"expensive restaurant
"
inform,"im looking for eritrean food
"
inform,"any
"
inform,"dont care
"
inform,"moderate priced restaurant in the north part of town
"
inform,"im looking for a moderately priced restaurant and it should be in the west part of town
"
inform,"south part of town
"
inform,"im looking for a moderately priced restaurant
"
inform,"spanish food any area
"
inform,"im looking for a moderately priced restaurant that serves scottish food
"
inform,"it doesnt matter
"
inform,"vietnamese
"
inform,"i dont care
"
inform,"any price range
"
inform,"vegetarian
"
inform,"i dont care
"
inform,"italian food
"
inform,"im looking for a cheap restaurant in the south part of town
"
inform,"it doesnt matter
"
inform,"african food please
"
inform,"west part of town
"
inform,"any part
"
inform,"i want a restaurant serving greek food
"
inform,"i dont care
"
inform,"cheap restaurant in the south part of town
"
inform,"id like a restaurant in the west part of town
"
inform,"south
"
inform,"i dont care
"
inform,"cheap restaurant serves spanish food
"
inform,"im looking for a cheap restaurant that serves belgian food
"
inform,"italian food
"
inform,"im looking for a moderately priced restaurant in the north part of town
"
inform,"expensive
"
inform,"any
"
inform,"moroccan food
"
inform,"south part of town
"
inform,"i need a restaurant
"
inform,"is there an expensive restaurant that serves korean food
"
inform,"dont care
"
inform,"moderate restaurant in the south part of town
"
inform,"persian
"
inform,"i need an expensive restaurant serving british food
"
inform,"i want a moderately priced restaurant in the east
"
inform,"north
"
inform,"it doesnt matter
"
inform,"dont care
"
inform,"moderately priced restaurant in the south part of town
"
inform,"im looking for a
"
inform,"i want to find a moderately priced restaurant in the east part town
"
inform,"um moderate
"
inform,"any
"
inform,"any
"
inform,"north american food
"
inform,"i dont care
"
inform,"romanian
"
inform,"oriental
"
inform,"the south
"
inform,"i want a restaurant in the south part of town that serves moroccan food
"
inform,"doesnt matter
"
inform,"the south part of town
"
inform,"spanish
"
inform,"cheap restaurant west part of town
"
inform,"im looking for a restaurant in the west part of town that serves
"
inform,"moderately priced
"
inform,"catalan food
"
inform,"im looking for a cheap restaurant in the south of town
"
inform,"breath im looking for a restaurant in the east part of tow
"
inform,"expensive romanian food
"
inform,"spanish
"
inform,"that should be in the east part of town
"
inform,"dont care
"
inform,"im looking for a moderately priced restaurant in the west part of town
"
inform,"it doesnt matter to me
"
inform,"can i have a different restaurant that serves portuguese food
"
inform,"mediterranean
"
inform,"doesnt matter
"
inform,"korean food expensive
"
inform,"korean
"
inform,"is there mediterranean food
"
inform,"italian food
"
inform,"uh doesnt matter
"
inform,"i am looking for an expensive restaurant that serves australian food
"
inform,"looking for a restaurant noise in the east part of town
"
inform,"im looking for african food
"
inform,"i dont care
"
inform,"im looking for a cheap restaurant in the north part of town
"
inform,"a moderately priced restaurant in the south part of town
"
inform,"i need moderately priced restaurant that serves spanish
"
inform,"uh restaurant in the west part of town
"
inform,"um is doesnt matter
"
inform,"breath malaysian food
"
inform,"south part of town
"
inform,"caribbean food
"
inform,"cheap
"
inform,"indian food
"
inform,"the turkiesh food
"
inform,"uh do you have any korean food
"
inform,"id like a restaurant that serves australian asian food
"
inform,"asian oriental
"
inform,"any area
"
inform,"korean
"
inform,"i want to find a moderately priced restaurant that serves moroccan food
"
inform,"world food
"
inform,"moderately
"
inform,"south
"
inform,"korean food
"
inform,"im looking for a restaurant in the south part of town that serves pan asian food
"
inform,"asian
"
inform,"asian oriental
"
inform,"the south part of town
"
inform,"chinese food
"
inform,"expensive restaurant that serves afghan food
"
inform,"north
"
inform,"um east part of town
"
inform,"french food
"
inform,"thai food
"
inform,"austrian food
"
inform,"i want to find a cheap restaurant and it should serve portuguese food
"
inform,"north
"
inform,"cheap restaurant in the south part of town
"
inform,"the south part of town
"
inform,"any
"
inform,"it doesnt matter
"
inform,"looking for a restaurant
"
inform,"i dont care
"
inform,"restaurant in the north part of town that serves
"
inform,"it does not matter
"
inform,"id like a cantonese resturant in the south part of town
"
inform,"im looking for a cheap restaurant in the west part of town
"
inform,"any
"
inform,"hungarian
"
inform,"im looking for a restaurant in the east part of town and it should serve
"
inform,"im looking for a moderately priced restaurant that serves european food
"
inform,"french food any french food
"
inform,"asian oriental
"
inform,"expensive restaurant
"
inform,"food
"
inform,"asian oriental
"
inform,"i want a restaurant that serves welsh food
"
inform,"french
"
inform,"it doesnt matter
"
inform,"indian food
"
inform,"i dont care about the price range
"
inform,"i dont care
"
inform,"can i get a steak house restaurant in any area
"
inform,"im looking for cheap food in the north of town
"
inform,"lebanese
"
inform,"cheap
"
inform,"im looking for a moderately priced restaurant in the west part of town
"
inform,"moderate
"
inform,"pub or british type of food
"
inform,"cheap restaurant
"
inform,"asian
"
inform,"cheap restaurant in the south part of town
"
inform,"i would like a cheap
"
inform,"cheap
"
inform,"i want a cheap restaurant in the north
"
inform,"food
"
inform,"its in the south
"
inform,"i dont care
"
inform,"im looking for a cheap restaurant
"
inform,"im looking for a restaurant
"
inform,"dont care
"
inform,"cantonese
"
inform,"moderate please
"
inform,"jamaican
"
inform,"moderate west
"
inform,"dont care
"
inform,"swiss
"
inform,"i dont care
"
inform,"moderate
"
inform,"any
"
inform,"vegitarian
"
inform,"south
"
inform,"im looking for a restaurant
"
inform,"kosher
"
inform,"doesnt matter
"
inform,"polish
"
inform,"asian ori
"
inform,"cheap
"
inform,"french
"
inform,"asian oriental
"
inform,"moderate
"
inform,"unitelligible food
"
inform,"turkish food
"
inform,"i dont care
"
inform,"mediterranean
"
inform,"north part of town
"
inform,"i would like a cheap restaurant in the north part of town
"
inform,"spanish food
"
inform,"tuscan food
"
inform,"mediterranean
"
inform,"indian
"
inform,"i dont care
"
inform,"serves lebanese
"
inform,"moderately priced
"
inform,"cheap
"
inform,"vietnamese
"
inform,"moderately priced catalan food
"
inform,"moderate
"
inform,"south
"
inform,"i dont care
"
inform,"i would like singaporean food
"
inform,"i dont care
"
inform,"it doesnt matter
"
inform,"if there is no such venue how about french type of food
"
inform,"italian food in the south part of town
"
